Company Name,Rating,Total Reviews,Industry,Headquarters,Primary HQ
Hitachi Digital Services,3.5,789,IT Services & Consulting,Hyderabad +16 other locations,Hyderabad
NTT,3.9,788,IT Services & Consulting,Mumbai +43 other locations,Mumbai
Neurealm,3.4,785,IT Services & Consulting,Chennai +18 other locations,Chennai
Allied Digital Services,3.2,783,IT Services & Consulting,Mumbai +58 other locations,Mumbai
Celebal Technologies,3.0,782,IT Services & Consulting,Jaipur +24 other locations,Jaipur
BNP Paribas India Solutions,3.6,770,IT Services & Consulting,Mumbai +10 other locations,Mumbai
Mindsprint,3.5,767,IT Services & Consulting,Chennai +10 other locations,Chennai
CMS Computers Limited (INDIA),3.7,766,IT Services & Consulting,New Delhi +77 other locations,New
TO THE NEW,3.6,766,IT Services & Consulting,Noida +20 other locations,Noida
Volkswagen Group Digital Solutions [India],3.9,756,IT Services & Consulting,Pune +15 other locations,Pune
Bitwise Solutions,3.6,755,IT Services & Consulting,Pune +9 other locations,Pune
Primus Global Technologies,3.7,753,IT Services & Consulting,Bengaluru +27 other locations,Bengaluru
LG Soft India,2.7,750,IT Services & Consulting,Bengaluru +15 other locations,Bengaluru
Rackspace,3.6,752,IT Services & Consulting,Gurugram +15 other locations,Gurugram
Trianz,3.7,751,IT Services & Consulting,Hyderabad +9 other locations,Hyderabad
Evision Technoserve,4.8,739,IT Services & Consulting,Pune +43 other locations,Pune
GirnarSoft,3.6,736,IT Services & Consulting,Gurugram +54 other locations,Gurugram
Koch Business Solutions,3.1,734,IT Services & Consulting,Bengaluru +11 other locations,Bengaluru
Expleo Solutions,3.5,730,IT Services & Consulting,Chennai +15 other locations,Chennai
Tavant Technologies,3.8,728,IT Services & Consulting,Bengaluru +13 other locations,Bengaluru
Tredence,3.3,728,IT Services & Consulting,Bengaluru +9 other locations,Bengaluru
Bristlecone,3.6,727,IT Services & Consulting,Bengaluru +14 other locations,Bengaluru
Vertex Customer Solutions,3.5,725,IT Services & Consulting,Chennai +33 other locations,Chennai
Lavender Technology,4.9,724,IT Services & Consulting,Bengaluru +8 other locations,Bengaluru
Bahwan CyberTek,3.3,721,IT Services & Consulting,Chennai +21 other locations,Chennai
PrimEra Medical Technologies,3.5,714,IT Services & Consulting,Hyderabad +14 other locations,Hyderabad
Ness Digital Engineering,3.2,710,IT Services & Consulting,Bengaluru +11 other locations,Bengaluru
XcelServ Solutions,4.4,708,IT Services & Consulting,New Delhi +33 other locations,New
CtrlS,3.6,707,IT Services & Consulting,Hyderabad +17 other locations,Hyderabad
Kaar Tech,4.3,699,IT Services & Consulting,Chennai +12 other locations,Chennai
Capco Technologies,3.8,698,IT Services & Consulting,Bengaluru +18 other locations,Bengaluru
Orient Technologies,3.7,689,IT Services & Consulting,Mumbai +50 other locations,Mumbai
Wissen Infotech,3.5,685,IT Services & Consulting,Bengaluru +15 other locations,Bengaluru
Wissen Technology,3.8,682,IT Services & Consulting,Bengaluru +9 other locations,Bengaluru
JoulestoWatts Business Solutions,3.4,676,IT Services & Consulting,Bengaluru +17 other locations,Bengaluru
